teacher_code,nom,prenom,sexe,date_naissance,telephone,email,specialite,grade,date_embauche,statut
TEACH-01538,Rey,Nathalie,F,1996-12-09,+33 (0)3 21 00 05 03,pauldidier@example.org,Python,Maître Assistant,2013-07-20,Permanent
TEACH-01539,Charles,Caroline,F,1999-02-26,0535933941,ufrancois@example.com,Base de données,Maître Assistant,2017-11-21,Vacataire
TEACH-01540,Ribeiro,Lucas,F,1984-06-28,07 71 73 78 04,ghoarau@example.org,Intelligence Artificielle,Professeur,2018-03-02,Permanent
TEACH-01541,Blanchet,Stéphane,F,1968-08-24,0415019559,mleblanc@example.org,Cybersécurité,Vacataire,2014-10-18,Vacataire
TEACH-01542,Couturier,Marthe,M,1961-12-31,+33 (0)5 82 51 38 07,dguillou@example.org,Cybersécurité,Maître Assistant,2007-05-12,Vacataire
TEACH-01543,Bourgeois,Alexandria,F,2000-08-29,0320165392,froyer@example.org,Cloud,Maître Assistant,2015-12-01,Vacataire
TEACH-01544,Fernandes,Marcelle,F,1980-08-13,+33 2 57 10 40 87,hmaillot@example.net,Data Science,Maître Assistant,2022-06-20,Vacataire
TEACH-01545,Ferreira,Brigitte,F,1982-04-04,+33 4 90 06 63 70,michele68@example.org,Base de données,Assistant,2007-03-12,Permanent
TEACH-01546,Fabre,Frédérique,F,1972-01-23,0490155141,efontaine@example.net,IA,Maître Assistant,2013-04-13,Permanent
TEACH-01547,Moreno,Jean,F,1976-01-18,+33 (0)4 75 23 68 04,jlucas@example.org,Intelligence Artificielle,Maître Assistant,2022-08-10,Permanent
TEACH-01548,Becker,Alfred,F,1969-01-14,0466162511,merlehenriette@example.org,Cybersécurité,Vacataire,2024-03-31,Permanent
TEACH-01549,Hebert,Eugène,F,1964-03-13,0470928444,celina63@example.org,IA,Maître Assistant,2022-05-04,Vacataire
TEACH-01550,Garnier,Manon,F,1999-10-14,77-123-45-67,,Intelligence Artificielle,Assistant,2016-02-16,Permanent
TEACH-01551,Charrier,Lorraine,F,1969-02-16,+33 (0)2 61 84 09 91,francoissabine@example.com,Data Science,Professeur,2007-02-05,Vacataire
TEACH-01552,Perrot,Aurore,M,1963-11-25,+221771234567,,Data Science,Assistant?,2020-10-05,Permanent
TEACH-01553,Fontaine,Édith,F,1984-07-06,02 57 44 50 68,nathalie40@example.net,Cloud,Assistant,2014-11-18,Permanent
TEACH-01554,Jacquet,Théophile,M,1995-05-26,+33 (0)4 65 87 79 91,avasseur@example.org,Intelligence Artificielle,Assistant,2008-03-19,Vacataire
TEACH-01555,Leconte,Émilie,M,1995-04-23,+33 (0)6 37 93 51 29,josettemarechal@example.org,IA,Professeur,2018-12-17,Permanent
TEACH-01556,Ferreira,Constance,M,1980-04-29,+33 (0)6 82 26 54 41,virginiejacquet@example.com,Intelligence Artificielle,Assistant,2020-06-07,Vacataire
TEACH-01557,Colin,Honoré,F,1979-08-21,+33 2 46 68 81 16,ilombard@example.org,Intelligence Artificielle,Maître Assistant,2022-11-21,Permanent
TEACH-01558,Lemoine,Alix,F,1975-07-27,0457963671,elise62@example.com,IA,Vacataire,2006-09-16,Vacataire
TEACH-01559,Clerc,Édith,F,1993-12-17,+33 (0)1 46 61 68 98,ugermain@example.net,Python,Vacataire,2009-11-07,Vacataire
TEACH-01560,Joseph,Éléonore,M,1985-10-10,04 95 82 10 80,caroline07@example.com,Data Science,Assistant,2019-10-13,Vacataire
TEACH-01561,Lacombe,Capucine,M,1962-10-07,+33 3 53 31 33 40,bblondel@example.net,Data Science,Maître Assistant,2010-11-21,Vacataire
TEACH-01562,Millet,Nath,F,1997-01-19,01 44 42 24 73,suzannenormand@example.com,Python,Professeur,2022-05-12,Permanent
TEACH-01563,Rousset,Gilles,F,1967-03-27,02 29 52 46 19,valetteamelie@example.org,Cloud,Assistant,2023-09-03,Vacataire
TEACH-01564,Gautier,Corinne,F,1988-01-10,+33 (0)3 76 84 22 04,pottierrichard@example.net,Base de données,Professeur,2015-12-30,Vacataire
TEACH-01565,Barbier,Benoît,M,1987-07-20,0169680093,adriendos-santos@example.com,Cybersécurité,Vacataire,2011-04-02,Permanent
TEACH-01566,Weber,Margot,M,1991-01-18,+33 (0)6 38 93 39 26,frederiquelegendre@example.com,Intelligence Artificielle,Vacataire,2015-01-19,Permanent
TEACH-01567,Pruvost,Élodie,M,1973-08-22,77-123-45-67,,Intelligence Artificielle,Assistant?,2023-12-03,Vacataire
TEACH-01568,Petitjean,Aurélie,F,1972-01-07,+33 4 22 39 87 94,richardbrunel@example.net,Intelligence Artificielle,Professeur,2017-05-27,Vacataire
TEACH-01569,Grégoire,Jacques,M,1992-07-12,0366603171,adrienlacombe@example.org,Base de données,Assistant,2010-08-23,Vacataire
TEACH-01570,Martel,Benjamin,M,1963-10-18,04 67 18 90 85,coletteparent@example.org,Cloud,Vacataire,2017-03-03,Permanent
TEACH-01571,Rolland,Mathilde,M,2000-11-28,+33 2 53 50 84 56,lorraine33@example.com,Intelligence Artificielle,Maître Assistant,2012-10-31,Permanent
TEACH-01572,Albert,William,F,1996-10-08,01 49 71 22 85,franckroche@example.net,Data Science,Maître Assistant,2009-12-31,Vacataire
TEACH-01573,Ruiz,Hélène,F,1990-10-18,+33 3 75 54 81 97,tessiermargot@example.org,IA,Maître Assistant,2016-08-04,Permanent
TEACH-01574,Maury,Amélie,M,1994-12-25,771234567,,Intelligence Artificielle,Assistant?,2007-05-08,Vacataire
TEACH-01575,Schneider,Théodore,M,1987-10-16,0698657291,capucinebonnet@example.org,Python,Professeur,2009-10-15,Permanent
TEACH-01576,Thomas,Noémi,F,1962-06-29,+33 4 81 33 13 19,danielle91@example.com,Base de données,Maître Assistant,2023-06-24,Vacataire
TEACH-01577,Reynaud,Denis,M,1975-01-06,+33 5 46 28 09 45,iblondel@example.net,Cybersécurité,Assistant,2008-04-04,Permanent
TEACH-01578,Cousin,Roger,F,1997-01-23,+33 (0)3 62 44 29 97,josettegoncalves@example.net,Cybersécurité,Professeur,2016-06-09,Permanent
TEACH-01579,Chevallier,Monique,F,1975-08-30,04 67 32 47 75,margaud79@example.com,Cloud,Vacataire,2022-12-09,Permanent
TEACH-01580,Ferrand,Célina,M,1989-07-04,04 84 71 02 33,anouk93@example.net,Cybersécurité,Assistant,2010-09-18,Permanent
TEACH-01581,Bouvier,Sébastien,M,1962-02-22,+33 (0)4 80 28 75 32,jules62@example.com,IA,Maître Assistant,2007-11-07,Permanent
TEACH-01582,Leclercq,Danielle,F,1988-12-26,+33 5 49 33 47 88,morinnoemi@example.org,Intelligence Artificielle,Vacataire,2011-08-24,Permanent
TEACH-01583,Faure,Édouard,F,1981-01-19,+33 (0)4 98 11 85 91,maggie41@example.net,Data Science,Professeur,2019-05-07,Permanent
TEACH-01584,Charrier,Maurice,F,1989-04-22,05 24 99 24 55,guillaume88@example.com,Data Science,Maître Assistant,2012-06-29,Vacataire
TEACH-01585,Chrétien,Thérèse,M,1991-11-21,+33 2 53 22 65 56,augusteblanchet@example.com,Cloud,Assistant,2019-03-16,Vacataire
TEACH-01586,Barbier,Françoise,M,1978-06-29,+221771234567,,Intelligence Artificielle,Professeur Senior,2010-05-24,Permanent
TEACH-01587,Godard,Théodore,F,1980-12-29,+33 4 92 68 94 95,ichauvin@example.net,IA,Vacataire,2025-06-30,Vacataire
TEACH-01588,Thomas,Jeannine,M,1990-12-29,0386315663,jeannebrunet@example.net,IA,Assistant,2007-08-26,Permanent
TEACH-01589,Boutin,Geneviève,M,1968-10-19,03 86 32 67 13,ltanguy@example.com,Intelligence Artificielle,Vacataire,2007-11-02,Permanent
TEACH-01590,Grenier,Dominique,M,1995-09-01,+33 (0)2 44 20 09 07,omaillot@example.org,Cloud,Professeur,2010-04-17,Permanent
TEACH-01591,Tessier,Chantal,M,1984-01-24,+33 (0)5 08 86 62 63,margot30@example.net,IA,Vacataire,2009-11-13,Vacataire
TEACH-01592,Simon,Margot,M,1973-02-26,04 38 70 33 19,descampsclaudine@example.com,Base de données,Assistant,2014-03-16,Vacataire
TEACH-01593,Lucas,Laure,F,1993-09-23,0255418114,suzanneadam@example.com,Data Science,Assistant,2010-12-21,Vacataire
TEACH-01594,Sauvage,Alexandre,M,1968-03-13,02 69 93 33 54,guillaumemerle@example.net,IA,Maître Assistant,2017-11-02,Vacataire
TEACH-01595,Mallet,Laurence,F,1990-09-08,+33 3 64 55 33 94,lle-goff@example.org,Cybersécurité,Maître Assistant,2017-07-22,Permanent
TEACH-01596,Perrier,Alexandre,M,1968-10-09,01 44 45 55 44,alphonse40@example.net,Cloud,Assistant,2018-02-03,Permanent
TEACH-01597,Lamy,Adèle,F,1990-02-16,0635926900,fdevaux@example.net,Intelligence Artificielle,Assistant,2014-02-19,Permanent
TEACH-01598,Allain,Eugène,F,1963-06-04,+33 (0)4 91 52 06 83,bourgeoisfrederic@example.org,Data Science,Assistant,2007-04-04,Vacataire
TEACH-01599,Guilbert,Adèle,M,1985-06-29,02 50 86 19 39,alexandredupuy@example.org,Base de données,Maître Assistant,2018-05-30,Permanent
TEACH-01600,Fouquet,Susanne,F,2001-01-13,+33 2 99 41 99 18,fischeredith@example.com,Cloud,Assistant,2016-12-18,Permanent
TEACH-01601,Gillet,Thibault,F,1987-03-05,0355452103,arthur21@example.net,Cybersécurité,Maître Assistant,2024-04-19,Permanent
TEACH-01602,Couturier,Émilie,F,1962-03-15,0634852962,paulette53@example.net,IA,Professeur,2020-10-01,Permanent
TEACH-01603,Courtois,Louis,M,1992-06-17,0258567792,gbigot@example.org,Base de données,Maître Assistant,2016-03-27,Vacataire
TEACH-01604,Bègue,Cécile,M,1998-03-24,0130579715,sebastienpasquier@example.org,Cybersécurité,Maître Assistant,2009-07-01,Permanent
TEACH-01605,Lelièvre,Lucie,M,1991-07-26,+33 (0)1 55 03 64 46,deschampsclaire@example.com,Base de données,Vacataire,2019-06-30,Permanent
TEACH-01606,Laurent,Pénélope,F,1985-11-04,+33 1 48 40 96 55,marie74@example.net,IA,Professeur,2017-07-16,Permanent
TEACH-01607,Martinez,Christiane,M,1976-07-01,+33 (0)4 75 14 23 59,bonninlucy@example.net,Python,Vacataire,2023-09-05,Vacataire
TEACH-01608,Grégoire,Céline,F,1981-02-09,04 72 24 39 75,diallohonore@example.org,Cybersécurité,Maître Assistant,2019-09-14,Vacataire
TEACH-01609,Brunet,Noémi,M,1965-09-19,+33 4 50 15 72 78,piresremy@example.com,Base de données,Vacataire,2022-04-26,Permanent
TEACH-01610,Michel,Sylvie,F,1990-01-10,02 54 47 80 39,kmichel@example.net,IA,Assistant,2012-10-23,Permanent
TEACH-01611,Laroche,Lucy,M,1987-11-12,0563549437,mthibault@example.net,Data Science,Assistant,2018-08-09,Permanent
TEACH-01612,Sanchez,Margot,M,1971-07-20,+33 (0)4 13 21 70 96,emile56@example.org,Intelligence Artificielle,Maître Assistant,2018-07-30,Vacataire
TEACH-01613,Huet,Lorraine,F,1984-03-17,06 10 63 06 06,rousseauhenriette@example.net,Base de données,Assistant,2010-03-22,Permanent
TEACH-01614,Leroy,Matthieu,M,1991-07-23,+33 (0)6 09 14 26 87,pierre52@example.com,Data Science,Maître Assistant,2020-12-02,Permanent
TEACH-01615,Chauveau,Juliette,M,1988-07-09,+33 4 34 84 31 71,le-goffnicolas@example.org,Python,Vacataire,2009-04-29,Vacataire
TEACH-01616,Moreno,Geneviève,M,1994-09-16,0379578955,duboisolivier@example.org,Data Science,Vacataire,2011-10-14,Vacataire
TEACH-01617,Lebreton,Élodie,F,1980-12-06,+33 (0)1 76 26 85 53,fbuisson@example.org,Cloud,Maître Assistant,2015-05-13,Vacataire
TEACH-01618,Gomes,François,M,2001-03-04,+33 (0)6 98 29 26 03,louis78@example.com,IA,Maître Assistant,2009-02-12,Permanent
TEACH-01619,Deschamps,Anne,M,1961-09-30,04 58 14 43 33,gmorel@example.com,Cloud,Vacataire,2008-12-01,Permanent
TEACH-01620,Delmas,Alix,F,1971-08-14,0497232041,rollandfrancois@example.net,Intelligence Artificielle,Vacataire,2019-12-03,Permanent
TEACH-01621,Rodriguez,David,M,1997-08-08,04 13 29 64 29,raynaudsimone@example.net,Cloud,Maître Assistant,2020-10-05,Permanent
TEACH-01622,Jacquet,Georges,F,1966-04-08,+33 4 87 00 94 31,benardtimothee@example.net,Data Science,Assistant,2015-11-01,Vacataire
TEACH-01623,Garcia,Arnaude,F,1972-09-28,0325922537,lesagemanon@example.net,Cybersécurité,Assistant,2010-07-06,Permanent
TEACH-01624,Rey,Grégoire,M,1971-09-08,0160511143,benardamelie@example.net,Cybersécurité,Assistant,2017-06-30,Vacataire
TEACH-01625,Dijoux,Susanne,M,1964-06-26,+33 6 34 24 40 34,xetienne@example.org,Cloud,Professeur,2008-11-18,Vacataire
TEACH-01626,Benard,Richard,F,1990-02-21,0323307453,gaillardhelene@example.org,IA,Professeur,2020-02-03,Vacataire
TEACH-01627,Vallet,Célina,M,1970-03-27,+33 (0)3 29 02 30 64,galletpatrick@example.com,IA,Assistant,2013-06-01,Vacataire
TEACH-01628,Barthelemy,Philippine,M,1971-11-01,+33 3 52 49 48 92,genevieve20@example.com,Intelligence Artificielle,Professeur,2007-12-12,Vacataire
TEACH-01629,Fournier,Hélène,M,1989-03-06,0473395595,philippinebousquet@example.com,Base de données,Professeur,2020-08-02,Permanent
TEACH-01630,Langlois,Constance,F,1988-09-18,+33 2 76 82 55 33,gpayet@example.org,Data Science,Professeur,2016-10-30,Vacataire
TEACH-01631,Moreau,Andrée,M,1984-12-07,+33 6 30 38 29 72,yfoucher@example.com,Cloud,Maître Assistant,2025-06-09,Vacataire
TEACH-01632,Leroux,Capucine,F,2001-03-04,+33 3 59 91 16 00,sjacques@example.com,Cybersécurité,Maître Assistant,2011-02-14,Vacataire
TEACH-01633,Menard,Jacqueline,F,1978-11-30,+33 6 50 82 37 20,edith43@example.net,Base de données,Vacataire,2021-04-12,Vacataire
TEACH-01634,Mahe,Christophe,M,1974-03-03,0175342281,tchauvin@example.org,IA,Vacataire,2007-11-08,Vacataire
TEACH-01635,David,Jeanne,F,1996-09-28,+33 2 31 72 86 15,massonclaire@example.com,IA,Professeur,2017-05-27,Vacataire
TEACH-01636,Samson,Charles,F,1986-06-08,0519020625,agathe10@example.net,Intelligence Artificielle,Assistant,2019-06-16,Vacataire
TEACH-01637,Joubert,Tristan,F,1978-04-06,0618221136,paulnicole@example.net,Data Science,Professeur,2023-03-22,Vacataire
TEACH-01638,Garnier,Margot,M,1977-02-15,+33 1 34 09 70 19,gpages@example.com,Base de données,Professeur,2007-07-26,Vacataire
TEACH-01639,Perret,Danielle,M,1980-12-10,+33 (0)4 87 09 05 39,vfleury@example.org,Intelligence Artificielle,Professeur,2011-04-09,Permanent
TEACH-01640,Pascal,Marcelle,F,1967-07-12,+33 (0)2 96 93 46 92,agnes74@example.net,Cloud,Maître Assistant,2006-10-25,Vacataire
TEACH-01641,Renard,Lucy,M,1988-07-11,01 80 41 94 17,thomasvincent@example.org,Cloud,Vacataire,2011-10-13,Vacataire
TEACH-01642,Chartier,Margaret,M,1967-07-09,0562946587,christophe20@example.net,Data Science,Vacataire,2012-03-09,Permanent
TEACH-01643,Perrier,Marine,M,1971-05-08,77-123-45-67,,IA,Assistant?,2023-10-15,Vacataire
TEACH-01644,Meunier,Chantal,F,1999-11-18,0352255739,augustinfernandes@example.net,Python,Professeur,2016-07-11,Permanent
TEACH-01645,Marin,Claudine,M,1997-10-19,03 64 16 61 28,georges19@example.net,Base de données,Assistant,2024-01-03,Permanent
TEACH-01646,Ruiz,Michèle,F,1965-09-12,+33 5 35 74 65 90,jacquelinephilippe@example.org,Data Science,Assistant,2007-01-31,Permanent
TEACH-01647,Pineau,Philippe,F,1995-03-01,+33 (0)4 76 95 16 61,valletclaire@example.org,Cybersécurité,Professeur,2007-08-15,Vacataire
TEACH-01648,Alves,Hugues,F,1987-05-24,0562131976,tmarchal@example.net,Base de données,Professeur,2023-01-17,Permanent
TEACH-01649,Pages,Jacques,M,1984-06-03,+33 (0)3 29 42 08 71,henri57@example.net,IA,Maître Assistant,2017-05-27,Permanent
TEACH-01650,Lebrun,Antoine,M,1988-06-15,+33 6 30 76 70 19,rousseaumarcelle@example.org,Base de données,Assistant,2007-11-14,Permanent
TEACH-01651,Marques,Laurent,M,1998-10-17,03 39 99 39 87,jacquetamelie@example.org,Cloud,Maître Assistant,2022-04-11,Permanent
TEACH-01652,Bernier,Alain,M,1968-04-16,0654810669,louise96@example.com,Cloud,Assistant,2010-09-11,Vacataire
TEACH-01653,Guillou,Lucy,F,1977-03-26,04 86 16 43 64,ucarlier@example.com,Base de données,Vacataire,2023-08-02,Permanent
TEACH-01654,Perrin,Marc,M,1973-06-18,+33 (0)2 49 45 27 50,penelope39@example.org,Data Science,Professeur,2007-08-22,Vacataire
TEACH-01655,Jacquot,David,M,1991-07-27,+33 2 40 09 82 91,laure11@example.org,Intelligence Artificielle,Assistant,2015-08-12,Permanent
TEACH-01656,Garnier,Lorraine,F,1990-03-20,+33 (0)4 93 04 95 23,adrien27@example.org,Python,Maître Assistant,2018-06-15,Vacataire
TEACH-01657,Maréchal,Denis,F,1986-01-16,+33 2 48 60 03 91,zmorin@example.org,Cybersécurité,Maître Assistant,2015-11-15,Vacataire
TEACH-01658,Costa,Édith,M,1990-06-03,771234567,,Data Science,Assistant?,2010-11-11,Permanent
TEACH-01659,Charpentier,Édith,M,1966-04-25,03 80 49 98 51,nlopez@example.net,Cloud,Assistant,2012-09-14,Vacataire
TEACH-01660,Ferrand,Antoinette,M,1984-10-10,771234567,,IA,Prof,2010-12-01,Vacataire
TEACH-01661,Ferrand,Patrick,M,1960-10-16,+33 4 49 76 31 94,hgarcia@example.net,Python,Maître Assistant,2021-02-26,Permanent
TEACH-01662,Didier,Henri,M,1962-09-08,+33 (0)4 86 29 96 22,guerinzoe@example.net,Data Science,Professeur,2007-10-25,Vacataire
TEACH-01663,Fischer,Jeannine,F,1982-12-15,+33 (0)7 55 87 11 91,josepheugene@example.org,IA,Vacataire,2024-07-22,Vacataire
TEACH-01664,Laine,Julie,M,1995-08-25,0169479667,vblanc@example.org,Python,Vacataire,2013-03-09,Vacataire
TEACH-01665,Blin,Hortense,F,1985-01-23,+33 (0)3 62 16 25 41,bousquetgerard@example.org,Intelligence Artificielle,Maître Assistant,2023-06-19,Permanent
TEACH-01666,Ollivier,Alain,F,2001-02-17,0804375033,nicolasfaivre@example.net,IA,Vacataire,2007-01-28,Vacataire
TEACH-01667,Peltier,Eugène,F,1966-04-05,0228875343,marie02@example.org,Intelligence Artificielle,Vacataire,2021-10-08,Permanent
TEACH-01668,Dumas,Léon,F,1980-06-30,01 46 53 52 55,patrick03@example.org,Cloud,Assistant,2019-11-23,Permanent
TEACH-01669,Poulain,Patricia,M,1989-09-30,0229786080,imartel@example.net,Base de données,Vacataire,2017-07-13,Vacataire
TEACH-01670,Maurice,Thibaut,F,1971-04-14,0328930103,raymondgaillard@example.com,Python,Vacataire,2023-08-24,Vacataire
TEACH-01671,Loiseau,Lucie,M,1974-11-15,0553870935,jmorvan@example.org,Intelligence Artificielle,Assistant,2013-09-23,Permanent
TEACH-01672,Lévy,Nath,F,1999-05-20,0142699598,mperon@example.com,Intelligence Artificielle,Professeur,2025-07-15,Permanent
TEACH-01673,Bernard,Noémi,F,1973-03-09,+33 4 94 86 53 79,nruiz@example.com,Python,Assistant,2010-04-04,Vacataire
TEACH-01674,Durand,Lorraine,M,1986-03-04,06 35 13 67 99,margot69@example.org,Intelligence Artificielle,Assistant,2022-03-14,Vacataire
TEACH-01675,Barthelemy,Lorraine,F,1972-02-11,02 43 53 43 63,brigitte51@example.org,Data Science,Maître Assistant,2023-02-28,Vacataire
TEACH-01676,Roux,Valérie,F,1971-05-16,01 58 17 47 32,roger97@example.net,Base de données,Vacataire,2015-05-15,Permanent
TEACH-01677,Toussaint,Élise,M,1966-11-10,+33 (0)2 50 88 59 14,pbonneau@example.org,Base de données,Assistant,2008-09-22,Permanent
TEACH-01678,Bouchet,Théodore,M,1982-04-22,771234567,,Intelligence Artificielle,Prof,2022-08-02,Vacataire
TEACH-01679,Lefebvre,Louise,M,1983-09-16,03 26 46 40 78,santoine@example.net,Cybersécurité,Professeur,2015-11-19,Permanent
TEACH-01680,Payet,André,M,1995-12-07,05 33 60 28 73,levyantoinette@example.net,Base de données,Maître Assistant,2017-02-08,Permanent
TEACH-01681,Klein,Noémi,F,1988-07-14,+33 3 84 51 59 78,jlegrand@example.com,Data Science,Assistant,2022-11-20,Vacataire
TEACH-01682,Charrier,Aimée,M,1983-03-22,+33 (0)6 31 19 36 13,fernandeselodie@example.net,Cybersécurité,Professeur,2013-10-02,Vacataire
TEACH-01683,Goncalves,Adrienne,M,1995-09-29,0173434163,aurelie78@example.org,IA,Maître Assistant,2013-12-14,Vacataire
TEACH-01684,Girard,Cécile,F,1969-12-26,+33 2 48 70 29 50,hortensetraore@example.com,Python,Vacataire,2012-09-30,Permanent
TEACH-01685,Reynaud,Dorothée,F,1978-08-07,+33 2 43 50 93 76,lucy86@example.org,Data Science,Vacataire,2008-11-28,Permanent
TEACH-01686,Samson,Marthe,F,1963-01-28,03 83 94 35 61,hbegue@example.com,Data Science,Assistant,2011-02-13,Vacataire
TEACH-01687,Meyer,Olivier,F,1988-10-14,+33 6 37 96 14 44,jeannerocher@example.net,Python,Assistant,2018-03-29,Permanent
TEACH-01688,Gautier,Alex,M,1993-01-04,0383897157,dfournier@example.org,Base de données,Vacataire,2020-06-13,Permanent
TEACH-01689,Morin,Élodie,M,1976-09-23,05 47 90 55 68,victoiredescamps@example.net,IA,Professeur,2012-05-11,Permanent
TEACH-01690,Colas,Frédérique,M,1981-01-15,771234567,,Intelligence Artificielle,Professeur Senior,2014-10-09,Vacataire
TEACH-01691,Bonnet,Arthur,F,1979-03-28,+33 6 18 59 38 15,madeleine69@example.net,Intelligence Artificielle,Maître Assistant,2007-09-19,Vacataire
TEACH-01692,Thomas,Roger,M,1995-11-01,+33 (0)4 78 96 09 73,iclement@example.org,Cloud,Professeur,2014-10-05,Vacataire
TEACH-01693,Lebrun,Zacharie,M,1973-10-19,0290907286,josephanouk@example.net,Python,Maître Assistant,2021-06-10,Vacataire
TEACH-01694,Blot,Alex,M,1980-02-23,+33 (0)3 64 42 80 15,baroncharles@example.net,Intelligence Artificielle,Vacataire,2023-12-29,Vacataire
TEACH-01695,Bigot,Luc,F,1975-10-05,+33 2 14 91 81 66,echartier@example.com,Cybersécurité,Maître Assistant,2022-01-23,Permanent
TEACH-01696,Lebon,Margaud,F,1972-05-03,+33 (0)5 53 36 98 96,deschampsfrederic@example.net,IA,Professeur,2017-02-03,Permanent
TEACH-01697,Delattre,Luc,F,1974-05-20,0297674347,cnicolas@example.net,Base de données,Vacataire,2016-11-22,Vacataire
TEACH-01698,Hubert,Frédéric,F,1974-06-16,04 86 19 67 09,besnardanne@example.net,Python,Maître Assistant,2016-11-15,Permanent
TEACH-01699,Allain,Léon,M,1979-06-14,0656349459,louise43@example.net,Base de données,Vacataire,2015-05-07,Permanent
TEACH-01700,Alves,Thomas,F,1981-07-03,0320907834,julie51@example.com,Cybersécurité,Maître Assistant,2025-05-25,Permanent
TEACH-01701,Bourdon,Alix,M,1974-10-15,+33 5 47 98 25 29,marionrichard@example.net,Python,Assistant,2012-10-18,Permanent
TEACH-01702,Lebon,Gilbert,F,1977-05-31,05 53 58 20 98,mbrun@example.com,IA,Vacataire,2024-11-02,Permanent
TEACH-01703,Henry,Claudine,F,1967-04-21,+33 5 81 37 12 91,ineslanglois@example.org,IA,Maître Assistant,2018-10-08,Vacataire
TEACH-01704,Blot,Susan,M,1995-01-17,+33 3 26 14 90 47,ufernandes@example.org,Intelligence Artificielle,Assistant,2011-06-05,Permanent
TEACH-01705,Perrot,Maggie,M,1992-06-14,+33 2 52 11 29 11,andree89@example.net,Cybersécurité,Maître Assistant,2011-05-12,Permanent
TEACH-01706,Bonnet,Laurent,M,1982-10-28,+33 (0)3 39 70 34 59,alemaitre@example.org,IA,Professeur,2017-12-22,Permanent
TEACH-01707,Hernandez,Théophile,M,1992-07-29,+33 (0)1 44 81 29 69,louisejoseph@example.com,Python,Vacataire,2011-01-11,Permanent
TEACH-01708,Muller,Raymond,M,1989-07-17,0415769133,wbrun@example.org,Python,Assistant,2016-06-08,Permanent
TEACH-01709,Faure,Anne,F,1989-06-17,+33 (0)2 31 78 29 48,pintocecile@example.com,Python,Assistant,2019-01-16,Permanent
TEACH-01710,Coulon,Joseph,F,1995-09-17,01 83 74 59 82,de-oliveirasabine@example.net,Base de données,Assistant,2022-06-05,Vacataire
TEACH-01711,Weiss,Michelle,M,1996-11-09,+33 7 75 25 53 60,gosselinanouk@example.org,Python,Maître Assistant,2023-03-07,Permanent
TEACH-01712,Rémy,Denis,F,1960-09-09,01 88 02 45 82,hugues59@example.net,IA,Assistant,2014-03-24,Permanent
TEACH-01713,Valentin,Roland,M,1964-04-19,+33 4 63 93 52 86,yblot@example.org,Cybersécurité,Assistant,2020-12-12,Permanent
TEACH-01714,Lejeune,Hortense,F,1962-11-22,+33 4 56 02 79 95,eleonore39@example.org,Cybersécurité,Maître Assistant,2011-12-03,Permanent
TEACH-01715,Pierre,Stéphanie,F,1972-01-13,+33 2 36 85 95 57,marc04@example.com,IA,Assistant,2020-12-28,Vacataire
TEACH-01716,Rousset,Adèle,M,1975-05-15,04 87 56 59 10,josephine40@example.com,Python,Professeur,2025-01-27,Permanent
TEACH-01717,Boutin,Pierre,F,1994-03-17,+33 4 71 04 58 76,madeleinehenry@example.com,Intelligence Artificielle,Assistant,2017-06-19,Permanent
TEACH-01718,Lebreton,Laetitia,M,1986-07-08,+221771234567,,IA,Prof,2025-01-24,Permanent
TEACH-01719,Diaz,Paul,M,1972-01-22,02 34 81 84 62,anoukguillaume@example.com,Cybersécurité,Vacataire,2024-04-09,Permanent
TEACH-01720,Gilles,Guy,F,1978-01-30,+33 (0)3 56 19 04 85,zperez@example.net,Python,Professeur,2010-04-22,Permanent
TEACH-01721,Lucas,Susan,M,1986-07-24,0153425853,laurent55@example.net,Base de données,Maître Assistant,2021-08-20,Vacataire
TEACH-01722,Pruvost,Alfred,F,1965-02-23,+33 (0)4 50 89 96 94,nlaunay@example.com,Python,Assistant,2025-01-17,Permanent
TEACH-01723,Sanchez,Caroline,F,1991-03-18,+33 (0)1 55 73 62 11,pgillet@example.org,IA,Vacataire,2014-08-15,Permanent
TEACH-01724,Marion,Éléonore,F,1971-10-07,05 79 75 12 09,lenoirleon@example.org,Cloud,Maître Assistant,2022-07-24,Permanent
TEACH-01725,Denis,Robert,M,2001-07-01,0558843379,auroremeunier@example.com,Data Science,Maître Assistant,2021-04-23,Permanent
TEACH-01726,Peltier,Danielle,F,1963-07-17,+33 7 39 48 53 25,adrienne15@example.org,Cybersécurité,Assistant,2024-07-24,Vacataire
TEACH-01727,Normand,Anouk,M,1967-01-26,+33 3 22 18 97 42,qgeorges@example.org,Python,Vacataire,2006-10-28,Vacataire
TEACH-01728,Durand,Margot,F,1963-01-18,02 22 52 60 50,jmathieu@example.org,Python,Maître Assistant,2006-12-24,Permanent
TEACH-01729,Mahe,Sylvie,M,1993-04-12,+33 (0)4 26 64 24 36,lamyjeannine@example.org,Intelligence Artificielle,Assistant,2013-12-13,Permanent
TEACH-01730,Leconte,Margaux,F,1971-07-10,05 55 33 70 65,theresevasseur@example.com,IA,Maître Assistant,2008-02-10,Permanent
TEACH-01731,Maillot,Manon,F,1983-02-03,+33 (0)1 76 64 46 53,alicefournier@example.org,Python,Professeur,2008-11-12,Permanent
TEACH-01732,Guillet,Sébastien,M,1972-04-29,+33 (0)4 73 85 73 32,nathalie51@example.com,Cloud,Professeur,2011-03-13,Vacataire
